id,prices.amountMax,prices.amountMin,prices.availability,prices.condition,prices.isSale,prices.merchant,prices.shipping,asins 1,asins 2,asins 3,asins 4,asins 5,brand,categories 1,categories 2,categories 3,categories 4,categories 5,categories 6,categories 7,categories 8,categories 9,categories 10,categories 11,categories 12,categories 13,categories 14,manufacturer,name,upc,weight
AVpgGPyq1cnluZ0-wbTJ,99.99,99.99,In Stock,New,FALSE,UnbeatableSale,Freight,B00LIL7YVI,,,,,Motorola,Network,Router,Cameras,Computers,Screens,Office,Audio,Video,Accessories,,,,,,Motorola,Motorola Wi-Fi Pet Video Camera,8.16E+11,13.6 ounces
AVpgGPyq1cnluZ0-wbTJ,99.99,99.99,In Stock,New,FALSE,Bestbuy.com,,B00LIL7YVI,,,,,Motorola,Network,Router,Cameras,Computers,Screens,Office,Audio,Video,Accessories,,,,,,Motorola,Motorola Wi-Fi Pet Video Camera,8.16E+11,13.6 ounces
AWACBprXKZqtpbFMVBZo,199.99,199.99,In Stock,New,FALSE,Bestbuy.com,,B07644ZS1D,,,,,Samsung,Bluetooth,Audio,Headphones,Mobile,,,,,,,,,,,,Details About Samsung Gear Iconx 2018 Edition Cordfree Fitness Earbuds Black (us Version),8.87E+11,0.017 pounds
AWACBprXKZqtpbFMVBZo,149.99,149.99,In Stock,New,TRUE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,B07644ZS1D,,,,,Samsung,Bluetooth,Audio,Headphones,Mobile,,,,,,,,,,,,Details About Samsung Gear Iconx 2018 Edition Cordfree Fitness Earbuds Black (us Version),8.87E+11,0.017 pounds
AWACBprXKZqtpbFMVBZo,159.99,159.99,In Stock,New,TRUE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,B07644ZS1D,,,,,Samsung,Bluetooth,Audio,Headphones,Mobile,,,,,,,,,,,,Details About Samsung Gear Iconx 2018 Edition Cordfree Fitness Earbuds Black (us Version),8.87E+11,0.017 pounds
AWACBprXKZqtpbFMVBZo,199,199,In Stock,New,FALSE,Walmart.com,Expedited,B07644ZS1D,,,,,Samsung,Bluetooth,Audio,Headphones,Mobile,,,,,,,,,,,,Details About Samsung Gear Iconx 2018 Edition Cordfree Fitness Earbuds Black (us Version),8.87E+11,0.017 pounds
AWACBprXKZqtpbFMVBZo,154.95,154.95,In Stock,New,FALSE,your-best-store,FREE,B07644ZS1D,,,,,Samsung,Bluetooth,Audio,Headphones,Mobile,,,,,,,,,,,,Details About Samsung Gear Iconx 2018 Edition Cordfree Fitness Earbuds Black (us Version),8.87E+11,0.017 pounds
AWACBprXKZqtpbFMVBZo,199.99,199.99,In Stock,New,FALSE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,B07644ZS1D,,,,,Samsung,Bluetooth,Audio,Headphones,Mobile,,,,,,,,,,,,Details About Samsung Gear Iconx 2018 Edition Cordfree Fitness Earbuds Black (us Version),8.87E+11,0.017 pounds
AVpfVI9wilAPnD_xZxH-,89.99,89.99,In Stock,New,FALSE,BuyVPC,Value,B008JJLZ7G,,,,,WD,Network,Computers,Storage,Tablets,Accessories,Components,,,,,,,,,,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD,7.18E+11,1.32 lb
AVpfVI9wilAPnD_xZxH-,99,99,In Stock,New,FALSE,tube_works,,B008JJLZ7G,,,,,WD,Network,Computers,Storage,Tablets,Accessories,Components,,,,,,,,,,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD,7.18E+11,1.32 lb
AVpfVI9wilAPnD_xZxH-,83.99,83.99,In Stock,New,TRUE,bhphotovideo.com,Free Expedited Shipping,B008JJLZ7G,,,,,WD,Network,Computers,Storage,Tablets,Accessories,Components,,,,,,,,,,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD,7.18E+11,1.32 lb
AVpfVI9wilAPnD_xZxH-,84.99,84.99,In Stock,New,FALSE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,B008JJLZ7G,,,,,WD,Network,Computers,Storage,Tablets,Accessories,Components,,,,,,,,,,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD,7.18E+11,1.32 lb
AVpfVI9wilAPnD_xZxH-,90.71,90.71,In Stock,New,FALSE,DigitalShopper,Standard,B008JJLZ7G,,,,,WD,Network,Computers,Storage,Tablets,Accessories,Components,,,,,,,,,,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD,7.18E+11,1.32 lb
AVpfVI9wilAPnD_xZxH-,84.99,84.99,In Stock,New,FALSE,Bestbuy.com,,B008JJLZ7G,,,,,WD,Network,Computers,Storage,Tablets,Accessories,Components,,,,,,,,,,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD,7.18E+11,1.32 lb
AVpfVI9wilAPnD_xZxH-,89.95,89.95,In Stock,New,FALSE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,B008JJLZ7G,,,,,WD,Network,Computers,Storage,Tablets,Accessories,Components,,,,,,,,,,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD,7.18E+11,1.32 lb
AVpi9AE_LJeJML43qkYJ,199,199,In Stock,New,FALSE,gabrians,FREE,B00N13XLKE,B009MQTC52,,,,Panamax,Batteries,TV,Audio,Home Theater,Accessories,,,,,,,,,,,Details About Panamax Mr4000 8outlets Surge Protector Home Theater Power Line Management,50616008921,6.5 pounds
AVpi9AE_LJeJML43qkYJ,159.98,159.98,In Stock,New,FALSE,Bestbuy.com,,B00N13XLKE,B009MQTC52,,,,Panamax,Batteries,TV,Audio,Home Theater,Accessories,,,,,,,,,,,Details About Panamax Mr4000 8outlets Surge Protector Home Theater Power Line Management,50616008921,6.5 pounds
AVpi9AE_LJeJML43qkYJ,199.98,199.98,In Stock,New,FALSE,Bestbuy.com,,B00N13XLKE,B009MQTC52,,,,Panamax,Batteries,TV,Audio,Home Theater,Accessories,,,,,,,,,,,Details About Panamax Mr4000 8outlets Surge Protector Home Theater Power Line Management,50616008921,6.5 pounds
AVpi9AE_LJeJML43qkYJ,75,75,In Stock,Refurbished,FALSE,discountparts99,FREE,B00N13XLKE,B009MQTC52,,,,Panamax,Batteries,TV,Audio,Home Theater,Accessories,,,,,,,,,,,Details About Panamax Mr4000 8outlets Surge Protector Home Theater Power Line Management,50616008921,6.5 pounds
AVpiFC-LilAPnD_xAgKu,51.99,51.99,In Stock,New,FALSE,Car Audio Closeout,Value,B0038NMC8O,,,,,Alpine,Car,Speakers,Audio,Accessories,GPS,,,,,,,,,,,"Details About Alpine 480w 6.5 2way Typee Coaxial Car Speakers W/ Silk Tweeters | Spe6000""",7.93E+11,5.2 pounds
AVpiFC-LilAPnD_xAgKu,99.99,49.95,In Stock,New,TRUE,Audiosavings,Value,B0038NMC8O,,,,,Alpine,Car,Speakers,Audio,Accessories,GPS,,,,,,,,,,,"Details About Alpine 480w 6.5 2way Typee Coaxial Car Speakers W/ Silk Tweeters | Spe6000""",7.93E+11,5.2 pounds
AVpiFC-LilAPnD_xAgKu,49.99,49.99,In Stock,New,FALSE,www-sonicelectronix-com,FREE,B0038NMC8O,,,,,Alpine,Car,Speakers,Audio,Accessories,GPS,,,,,,,,,,,"Details About Alpine 480w 6.5 2way Typee Coaxial Car Speakers W/ Silk Tweeters | Spe6000""",7.93E+11,5.2 pounds
